instance,low_mean,low_std,sol_mean,sol_std,time_mean,time_std
inst_10_01_2,819.0,153.5599774246749,819.0,153.5599774246749,0.08333333333333333,0.004714045207910314
inst_10_01_3,805.0,148.73018075248436,805.0,148.73018075248436,0.08,0.01414213562373095
inst_10_05_2,828.3333333333334,129.90338290009575,828.3333333333334,129.90338290009575,0.07,0.024494897427831785
inst_10_05_3,810.0,116.37869220780924,810.0,116.37869220780924,0.07666666666666667,0.01699673171197595
inst_10_09_2,753.6666666666666,164.4350597922745,753.6666666666666,164.4350597922745,0.08333333333333333,0.030912061651652344
inst_10_09_3,730.0,161.35261592755992,730.0,161.35261592755992,0.060000000000000005,0.014142135623730954
inst_50_01_13,15742.666666666666,1653.4782194580678,15742.666666666666,1653.4782194580678,31.49,4.574800542100167
inst_50_01_2,18262.333333333332,1889.4191935324698,18262.333333333332,1889.4191935324698,33.95666666666666,4.35510683629639
inst_50_01_4,15841.333333333334,1673.7226638710356,15841.333333333334,1673.7226638710356,38.64666666666667,6.336067830725581
inst_50_01_6,15744.666666666666,1656.298148147113,15744.666666666666,1656.298148147113,33.833333333333336,8.989009338569456
inst_50_05_13,14210.666666666666,1965.3984046215387,14210.666666666666,1965.3984046215387,27.176666666666666,2.1684761674708093
inst_50_05_2,15401.666666666666,2124.0251620187764,15401.666666666666,2124.0251620187764,28.616666666666664,2.006262417753194
inst_50_05_4,14239.666666666666,1970.1516580089858,14239.666666666666,1970.1516580089858,29.783333333333335,1.0096974244242118
inst_50_05_6,14210.666666666666,1965.3984046215387,14210.666666666666,1965.3984046215387,27.076666666666668,2.5794099239080936
inst_50_09_13,13814.666666666666,657.9160702973865,13814.666666666666,657.9160702973865,27.656666666666666,1.7302279875464068
inst_50_09_2,14584.333333333334,929.539790553488,14584.333333333334,929.539790553488,29.176666666666666,1.8779658025522072
inst_50_09_4,13825.333333333334,666.1092669791913,13825.333333333334,666.1092669791913,27.296666666666667,1.5952081020634556
inst_50_09_6,13814.666666666666,657.9160702973865,13814.666666666666,657.9160702973865,30.03,3.6936792858431358
