,mem_mean,mem_std,time_mean,time_std,low_mean,low_std,sol_mean,sol_std,gap_mean,gap_std
inst_50_01_4,97.3,0.0,3.366666666666667,0.16996731711975951,19630.0,1552.1342295905552,19630.0,1552.1342295905552,0.0,0.0
inst_100_01_12,770.0,0.0,119.86666666666667,9.289898934984292,62059.0,1661.3181513485008,62059.0,1661.3181513485008,0.0,0.0
inst_100_01_2,880.9,26.600000000000023,337.25,69.75,69082.5,2377.5,69165.5,2294.5,0.1,0.1
inst_100_01_25,770.0,0.0,120.93333333333332,3.5112517552703144,62059.0,1661.3181513485008,62059.0,1661.3181513485008,0.0,0.0
inst_100_01_7,770.0,0.0,111.66666666666667,4.148359782961077,62059.0,1661.3181513485008,62059.0,1661.3181513485008,0.0,0.0
inst_100_05_12,770.0,0.0,119.06666666666668,2.7920522121829228,53664.0,4595.643806911062,53664.0,4595.643806911062,0.0,0.0
inst_100_05_2,804.7999999999998,1.1368683772161603e-13,119.56666666666666,1.9154343864744832,56258.666666666664,5062.067698963427,56258.666666666664,5062.067698963427,0.0,0.0
inst_100_05_25,770.0,0.0,119.86666666666667,3.561210780369822,53664.0,4595.643806911062,53664.0,4595.643806911062,0.0,0.0
inst_100_05_7,770.0,0.0,120.13333333333333,2.3098821518760584,53664.0,4595.643806911062,53664.0,4595.643806911062,0.0,0.0
inst_100_09_12,770.0,0.0,128.93333333333334,0.09428090415820098,51608.333333333336,1918.9564965250142,51608.333333333336,1918.9564965250142,0.0,0.0
inst_100_09_2,781.6,16.40487732352788,128.0,12.298780427343196,57225.0,2237.785661466859,57225.0,2237.785661466859,0.0,0.0
inst_100_09_25,770.0,0.0,139.66666666666666,9.873983773308293,51608.333333333336,1918.9564965250142,51608.333333333336,1918.9564965250142,0.0,0.0
inst_100_09_7,770.0,0.0,131.29999999999998,1.2355835328567135,51608.333333333336,1918.9564965250142,51608.333333333336,1918.9564965250142,0.0,0.0
