,mem_mean,mem_std,time_mean,time_std,low_mean,low_std,sol_mean,sol_std,gap_mean,gap_std
inst_50_01_4,97.3,0.0,3.233333333333333,0.12472191289246463,19411.666666666668,1634.80158497055,19411.666666666668,1634.80158497055,0.0,0.0
inst_100_01_12,770.0,0.0,117.0,6.5457365259126234,61735.333333333336,1901.4565177486677,61735.333333333336,1901.4565177486677,0.0,0.0
inst_100_01_2,901.4,47.10000000000002,323.6,89.29999999999998,69102.0,2358.0,69165.5,2294.5,0.1,0.1
inst_100_01_25,770.0,0.0,110.10000000000001,2.6280537792569367,61735.333333333336,1901.4565177486677,61735.333333333336,1901.4565177486677,0.0,0.0
inst_100_01_7,770.0,0.0,109.43333333333334,2.619584360585136,61735.333333333336,1901.4565177486677,61735.333333333336,1901.4565177486677,0.0,0.0
inst_100_05_12,770.0,0.0,118.36666666666667,0.8178562764256883,53117.166666666664,4039.3533792207663,53117.166666666664,4039.3533792207663,0.0,0.0
inst_100_05_2,804.7999999999998,1.1368683772161603e-13,112.10000000000001,5.2618121086434355,55429.833333333336,4160.190727465375,55429.833333333336,4160.190727465375,0.0,0.0
inst_100_05_25,770.0,0.0,118.8,1.5297058540778339,53117.166666666664,4039.3533792207663,53117.166666666664,4039.3533792207663,0.0,0.0
inst_100_05_7,770.0,0.0,117.76666666666667,0.9809292646374796,53117.166666666664,4039.3533792207663,53117.166666666664,4039.3533792207663,0.0,0.0
inst_100_09_12,770.0,0.0,114.8,21.740438511370154,33672.53333333333,22548.95269073242,33672.53333333333,22548.95269073242,0.0,0.0
inst_100_09_2,781.6,16.40487732352788,120.2,16.78411947844351,56649.333333333336,2446.3815910215008,56649.333333333336,2446.3815910215008,0.0,0.0
inst_100_09_25,770.0,0.0,128.66666666666666,1.3097921802925625,51182.4,2258.383870529249,51182.4,2258.383870529249,0.0,0.0
inst_100_09_7,770.0,0.0,129.76666666666665,2.085398975948941,51182.4,2258.383870529249,51182.4,2258.383870529249,0.0,0.0
